task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
141	15/77a9fd	164366	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287104)	CACHED	0	2026-05-01 12:26:08.065	5m 58s	2m 29s	201.5%	1.3 GB	51.5 GB	1.1 GB	980.6 MB
143	36/d61089	164468	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287104)	CACHED	0	2026-05-01 12:35:44.005	10.3s	8.3s	272.3%	79.9 MB	2.7 GB	194.4 MB	5.8 MB
144	29/09da0b	164467	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287104)	CACHED	0	2026-05-01 12:35:06.540	5.8s	2.2s	40.6%	36.7 MB	66.4 MB	6.2 MB	2.6 MB
145	f3/8a81c6	164469	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287104)	CACHED	0	2026-05-01 12:35:47.354	7.1s	1.7s	1838.2%	3.6 MB	9.9 MB	19.5 MB	3 KB
146	6d/e9fe53	164368	APHL_GAS:GAS:FASTP (SRR38287103)	CACHED	0	2026-05-01 12:26:10.056	4m 20s	52.6s	108.3%	1.3 GB	1.9 GB	100.3 MB	51.4 MB
147	09/0533ad	164367	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287103)	CACHED	0	2026-05-01 12:26:10.034	6m 29s	3m 13s	182.1%	3.3 GB	51.5 GB	1.3 GB	1.2 GB
149	cb/d8886c	164474	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287103)	CACHED	0	2026-05-01 12:35:59.459	9.8s	7.3s	298.8%	80.3 MB	2.7 GB	195.7 MB	5.9 MB
148	3e/298fc2	164473	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287103)	CACHED	0	2026-05-01 12:35:57.839	6.7s	2s	46.9%	139.9 MB	176.1 MB	6.4 MB	2.7 MB
150	a1/eda827	164475	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287103)	CACHED	0	2026-05-01 12:36:01.570	7.8s	1.9s	1672.1%	55.3 MB	14.9 GB	19.7 MB	2.5 KB
152	54/82b2a6	164369	APHL_GAS:GAS:FASTP (SRR38287102)	CACHED	0	2026-05-01 12:26:12.933	4m 23s	59.3s	111.3%	1.3 GB	1.8 GB	150.5 MB	93.7 MB
